,url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places,awards_count
234,https://www.goodreads.com/book/show/45195.A_Passage_to_India,A Passage to India,"E.M. Forster, ",3311,72776,3.68,376,1924,False,"['Classics', 'Fiction', 'Cultural']","James Tait Black Memorial Prize for Fiction (1924), Femina - Vie Heureuse Prize (1925)",India,2
235,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,The Left Hand of Darkness,Ursula K. Le Guin,9959,128979,4.08,304,1969,True,"['Science Fiction', 'Fiction', 'Fantasy']","Hugo Award for Best Novel (1970), Nebula Award for Best Novel (1969), James Tiptree Jr. Award for Retrospective (1995), Margaret A. Edwards Award (2004)",,4
236,https://www.goodreads.com/book/show/84369.The_Last_Battle,The Last Battle,C.S. Lewis,6928,235251,4.01,288,1956,True,"['Fantasy', 'Fiction', 'Classics']","Audie Award for Inspirational/Faith-Based Fiction (2005), Carnegie Medal (1956)",,2
237,https://www.goodreads.com/book/show/11901.The_Witching_Hour,The Witching Hour,Anne Rice,3810,104719,4.1,1207,1990,True,"['Fantasy', 'Fiction', 'Fantasy']",Locus Award for Best Dark Fantasy/Horror Novel (1991),United States,1
238,https://www.goodreads.com/book/show/682804.The_Killer_Angels,The Killer Angels,Michael Shaara,4894,77102,4.31,345,1974,True,"['Historical', 'Historical Fiction', 'Fiction']",Pulitzer Prize for Fiction (1975),United States,1
239,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,Snow Falling on Cedars,David Guterson,4973,170328,3.85,460,1994,False,"['Fiction', 'Historical', 'Historical Fiction']","Anthony Award Nominee for Best First Novel (1995), PEN/Faulkner Award for Fiction (1995), American Booksellers Book Of The Year  Award for Adult Trade (1996), Martin Beck Award (1996), Barnes and Noble Discover Great New Writers Award (1994)",United States,5
240,https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country,"Cry, the Beloved Country",Alan Paton,4123,69845,3.89,316,1948,False,"['Fiction', 'Classics', 'Cultural']",Anisfield-Wolf Book Award for Fiction (1949),,1
241,https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49,The Crying of Lot 49,Thomas Pynchon,4707,75011,3.69,152,1966,False,"['Fiction', 'Classics', 'Literature']",Rosenthal Family Foundation Award (1967),United States,1
242,https://www.goodreads.com/book/show/78433.The_Blind_Assassin,The Blind Assassin,Margaret Atwood (Goodreads Author),8126,139937,3.95,637,2000,False,"['Fiction', 'Historical', 'Historical Fiction']","Booker Prize (2000), Orange Prize Nominee for Fiction Shortlist (2001), Hammett Prize (2000), Puddly Award for New Novel (2001), International Dublin Literary Award Nominee for Shortlist (2002)",Canada,5
243,https://www.goodreads.com/book/show/375013.Schindler_s_List,Schindler's List,Thomas Keneally,2363,149842,4.33,429,1982,False,"['History', 'Nonfiction', 'Classics']","Booker Prize (1982), Los Angeles Times Book Prize for Fiction (1983)",Poland,2
244,https://www.goodreads.com/book/show/7354.The_Shipping_News,The Shipping News,Annie Proulx,5157,132956,3.86,337,1993,False,"['Fiction', 'Contemporary', 'Cultural']","Pulitzer Prize for Fiction (1994), National Book Award for Fiction (1993), Irish Times International Fiction Prize (1993), Chicago Tribune Heartland Prize for Fiction (1993), National Book Critics Circle Award Nominee for Fiction (1993)",Canada,5
